,census_tract,population_25_and_over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,estimate_total_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_9th_to_12th_grade_no_diploma_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_(includes_equivalency)_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_some_college_no_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_associate's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_or_higher_percentage_total
1,08001007801,2299,652,442,509,492,83,97,24,1205,121,0.2836015658982166,0.19225750326228794,0.22140060896041758,0.21400608960417572,0.03610265332753371,0.04219225750326229,0.010439321444106133,0.5241409308394954,0.05263157894736842
2,08001007802,2902,738,436,1080,339,90,135,84,1728,219,0.25430737422467264,0.15024121295658166,0.37215713301171605,0.11681598897312198,0.031013094417643005,0.046519641626464506,0.028945554789800137,0.5954514128187457,0.07546519641626465
3,08001007900,3525,540,394,1148,445,334,423,241,2591,664,0.15319148936170213,0.11177304964539007,0.32567375886524824,0.12624113475177304,0.0947517730496454,0.12,0.06836879432624113,0.7350354609929078,0.18836879432624112
4,08001008000,3893,367,323,1801,622,278,298,204,3203,502,0.0942717698433085,0.08296943231441048,0.46262522476239404,0.15977395324942203,0.07141022347803751,0.0765476496275366,0.05240174672489083,0.822758797842281,0.12894939635242744
5,08001008100,1062,32,28,122,111,91,342,336,1002,678,0.030131826741996232,0.026365348399246705,0.11487758945386065,0.10451977401129943,0.0856873822975518,0.3220338983050847,0.3163841807909605,0.943502824858757,0.6384180790960452
6,08001008200,4459,387,669,1761,787,357,360,138,3403,498,0.08679076026014801,0.1500336398295582,0.39493159901323166,0.17649697241533976,0.08006279434850863,0.08073559093967257,0.030948643193541153,0.7631755999102938,0.11168423413321373
7,08001008308,3278,397,425,1281,473,224,277,201,2456,478,0.1211104331909701,0.1296522269676632,0.3907870652837096,0.14429530201342283,0.06833435021354485,0.08450274557657109,0.061317876754118365,0.7492373398413666,0.14582062233068943
8,08001008309,2437,265,447,1048,361,105,165,46,1725,211,0.10874025441116127,0.18342224045958144,0.43003693065244153,0.14813295034878948,0.043085761181780875,0.06770619614279852,0.01887566680344686,0.7078375051292572,0.08658186294624538
9,08001008354,2451,131,94,666,496,145,774,145,2226,919,0.05344757241942064,0.03835169318645451,0.2717258261933905,0.20236638106895144,0.05915952672378621,0.3157894736842105,0.05915952672378621,0.9082007343941249,0.3749490004079967
10,08001008355,3572,236,287,1381,849,365,302,152,3049,454,0.06606942889137737,0.0803471444568869,0.38661814109742443,0.23768197088465845,0.10218365061590146,0.0845464725643897,0.0425531914893617,0.8535834266517357,0.1270996640537514
11,08001008401,3755,69,328,1526,755,466,545,66,3358,611,0.01837549933422104,0.08735019973368842,0.40639147802929426,0.2010652463382157,0.12410119840213049,0.14513981358189082,0.017576564580559253,0.8942743009320906,0.16271637816245008
12,08001008402,3166,19,82,728,1159,422,521,235,3065,756,0.006001263423878711,0.025900189513581806,0.229943145925458,0.3660770688566014,0.13329121920404297,0.16456096020214783,0.07422615287428933,0.9680985470625395,0.23878711307643716
13,08001008505,5008,201,342,1855,1175,553,525,357,4465,882,0.040135782747603835,0.06829073482428115,0.3704073482428115,0.23462460063897764,0.11042332268370607,0.10483226837060702,0.07128594249201278,0.891573482428115,0.1761182108626198
14,08001008506,3936,242,205,1515,936,419,399,220,3489,619,0.061483739837398375,0.052083333333333336,0.38490853658536583,0.23780487804878048,0.10645325203252033,0.1013719512195122,0.05589430894308943,0.8864329268292683,0.15726626016260162
15,08001008507,4479,145,151,2340,973,388,359,123,4183,482,0.0323732976110739,0.033712882339807994,0.522438044206296,0.21723599017637865,0.08662647912480465,0.08015181960258987,0.027461486939048894,0.9339138200491182,0.10761330654163875
16,08001008508,3807,146,328,1075,957,456,594,251,3333,845,0.03835040714473339,0.08615707906488049,0.282374573154715,0.25137903861308114,0.11977935382190702,0.15602836879432624,0.0659311794063567,0.8754925137903862,0.22195954820068295
17,08001008524,6356,161,292,1303,1292,643,1615,1050,5903,2665,0.025330396475770924,0.045940843297671494,0.20500314663310257,0.20327249842668346,0.1011642542479547,0.25409062303335433,0.16519823788546256,0.9287287602265576,0.41928886091881684
18,08001008526,4895,115,264,994,1177,298,1193,854,4516,2047,0.02349336057201226,0.05393258426966292,0.20306435137895812,0.24044943820224718,0.06087844739530133,0.24371807967313586,0.17446373850868233,0.9225740551583248,0.41818181818181815
19,08001008533,5502,172,319,1304,1607,481,1259,360,5011,1619,0.031261359505634315,0.057978916757542714,0.23700472555434388,0.292075608869502,0.08742275536168666,0.22882588149763722,0.06543075245365322,0.910759723736823,0.2942566339512904
20,08001008534,2929,45,218,884,855,284,420,223,2666,643,0.015363605326049846,0.07442813246841926,0.30180949129395696,0.2919085011949471,0.09696142027995903,0.14339364970979857,0.07613519972686923,0.9102082622055309,0.2195288494366678
21,08001008535,2731,84,336,828,503,250,550,180,2311,730,0.030757964115708532,0.12303185646283413,0.30318564628341266,0.18418161845477846,0.09154155986818015,0.20139143170999635,0.06590992310508971,0.8462101794214574,0.26730135481508605
22,08001008536,2419,55,200,489,460,329,531,355,2164,886,0.02273666804464655,0.0826787928896238,0.2021496486151302,0.19016122364613477,0.13600661430343117,0.21951219512195122,0.14675485737908225,0.8945845390657297,0.3662670525010335
23,08001008538,5060,240,78,684,1415,355,1407,881,4742,2288,0.04743083003952569,0.01541501976284585,0.13517786561264822,0.27964426877470355,0.07015810276679842,0.27806324110671937,0.1741106719367589,0.9371541501976285,0.45217391304347826
24,08001008540,5855,129,275,1669,1292,695,1412,383,5451,1795,0.02203245089666951,0.04696840307429547,0.2850555081127242,0.22066609735269002,0.11870196413321947,0.24116140051238258,0.06541417591801879,0.930999146029035,0.30657557643040134
25,08001008544,3340,45,98,432,582,311,1244,628,3197,1872,0.01347305389221557,0.029341317365269463,0.12934131736526946,0.17425149700598802,0.09311377245508982,0.3724550898203593,0.18802395209580838,0.957185628742515,0.5604790419161677
26,08001008545,4699,95,185,1027,908,460,1412,612,4419,2024,0.02021706746116195,0.03937007874015748,0.21855713981698233,0.1932326026814216,0.09789316875931049,0.30048946584379654,0.13024047669716962,0.9404128537986806,0.43072994254096614
27,08001008546,3013,116,212,743,575,535,645,187,2685,832,0.03849983405243943,0.07036176568204447,0.2465980750082974,0.19083969465648856,0.17756388981081977,0.2140723531364089,0.062064387653501495,0.891138400265516,0.2761367407899104
28,08001008547,2253,7,81,715,524,184,564,178,2165,742,0.0031069684864624943,0.03595206391478029,0.31735463826009763,0.23257878384376388,0.08166888592987129,0.25033288948069243,0.079005770084332,0.9609409675987572,0.3293386595650244
29,08001008548,1213,29,16,268,258,105,392,145,1168,537,0.023907666941467436,0.013190436933223413,0.22093981863149217,0.21269579554822754,0.08656224237427865,0.3231657048639736,0.11953833470733718,0.9629018961253092,0.4427040395713108
30,08001008549,2474,357,222,447,477,260,476,235,1895,711,0.14430072756669363,0.08973322554567502,0.18067906224737268,0.19280517380759904,0.10509296685529507,0.19240097008892482,0.09498787388843978,0.7659660468876314,0.2873888439773646
31,08001008550,5687,172,364,1602,1610,549,1156,234,5151,1390,0.03024441709161245,0.06400562686829611,0.28169509407420434,0.2831018111482328,0.09653595920520486,0.20327061719711623,0.041146474415333215,0.9057499560400915,0.24441709161244946
32,08001008551,1151,37,103,268,164,72,323,184,1011,507,0.03214596003475239,0.0894874022589053,0.23284100781928757,0.1424847958297133,0.06255430060816682,0.28062554300608167,0.15986099044309296,0.8783666377063423,0.44048653344917466
33,08001008552,2711,94,105,998,557,215,533,209,2512,742,0.03467355219476208,0.03873109553670232,0.3681298413869421,0.20545924013279232,0.07930652895610475,0.1966064182958318,0.07709332349686462,0.9265953522685356,0.2736997417926964
