,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total
Colorado!!Estimate,"2,137,402",,0.045346640454158836,0.03077661572320041,0.03162437388942277,0.034540530981069545,0.0339697445777631,0.03838866062631176,0.03705105544020264,0.037660206175534595,0.03528816759785946,0.07323189554421676,0.10057349997801068,0.13579710321221744,0.10745334756868385,0.07438048621644408,0.08743231268614889,0.0964853593287552
"Census Tract 78.01, Adams County, Colorado!!Estimate","1,222",08001007801,0.12193126022913257,0.07119476268412439,0.09819967266775777,0.06873977086743044,0.08428805237315876,0.04991816693944354,0.08428805237315876,0.08428805237315876,0.05237315875613748,0.05810147299509002,0.09083469721767594,0.08756137479541735,0.00900163666121113,0.007364975450081833,0.020458265139116204,0.011456628477905073
"Census Tract 78.02, Adams County, Colorado!!Estimate","1,377",08001007802,0.09949164851125636,0.10893246187363835,0.09295570079883805,0.06608569353667393,0.04502541757443718,0.024691358024691357,0.05591866376180102,0.054466230936819175,0.04066811909949165,0.1328976034858388,0.10820624546114742,0.09731299927378359,0.04647785039941903,0.0,0.015250544662309368,0.011619462599854757
"Census Tract 79, Adams County, Colorado!!Estimate","2,005",08001007900,0.10224438902743142,0.016957605985037406,0.044389027431421445,0.08379052369077307,0.06932668329177058,0.085785536159601,0.020947630922693267,0.06334164588528678,0.027930174563591023,0.055860349127182046,0.13665835411471322,0.17206982543640897,0.07032418952618454,0.016458852867830425,0.014962593516209476,0.018952618453865335
"Census Tract 80, Adams County, Colorado!!Estimate","1,536",08001008000,0.041015625,0.0625,0.018229166666666668,0.072265625,0.05859375,0.09309895833333333,0.008463541666666666,0.043619791666666664,0.03125,0.185546875,0.07421875,0.13671875,0.087890625,0.037109375,0.033854166666666664,0.015625
"Census Tract 81, Adams County, Colorado!!Estimate",666,08001008100,0.17417417417417416,0.02702702702702703,0.0075075075075075074,0.04504504504504504,0.04354354354354354,0.036036036036036036,0.018018018018018018,0.052552552552552555,0.08108108108108109,0.16366366366366367,0.1066066066066066,0.07207207207207207,0.04054054054054054,0.07807807807807808,0.024024024024024024,0.03003003003003003
"Census Tract 82, Adams County, Colorado!!Estimate","1,476",08001008200,0.025067750677506776,0.012872628726287264,0.03726287262872629,0.03590785907859079,0.0,0.0494579945799458,0.04200542005420054,0.08604336043360433,0.027777777777777776,0.08130081300813008,0.10569105691056911,0.1910569105691057,0.12059620596205962,0.07791327913279132,0.08130081300813008,0.025745257452574527
"Census Tract 83.08, Adams County, Colorado!!Estimate","1,678",08001008308,0.08879618593563766,0.0166865315852205,0.030393325387365912,0.041716328963051254,0.08164481525625746,0.15792610250297973,0.052443384982121574,0.06436233611442194,0.06257449344457688,0.04946364719904649,0.11084624553039332,0.09952324195470799,0.06853396901072706,0.01966626936829559,0.04231227651966627,0.013110846245530394
"Census Tract 83.09, Adams County, Colorado!!Estimate","1,161",08001008309,0.020671834625323,0.03962101636520241,0.06373815676141258,0.07062876830318691,0.08010335917312661,0.0913006029285099,0.012058570198105082,0.0034453057708871662,0.03531438415159346,0.11455641688199827,0.1731266149870801,0.20671834625322996,0.0103359173126615,0.028423772609819122,0.037037037037037035,0.012919896640826873
"Census Tract 83.54, Adams County, Colorado!!Estimate","1,243",08001008354,0.030571198712791632,0.02252614641995173,0.028962188254223652,0.0,0.014481094127111826,0.031375703942075624,0.04585679806918745,0.0498793242156074,0.008849557522123894,0.04344328238133548,0.01850362027353178,0.2936444086886565,0.12308930008045052,0.1246983105390185,0.14802896218825423,0.016090104585679808
