,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 78.01, Adams County, Colorado","3,464",08001007801,0.259526558891455,0.1928406466512702,0.022228637413394918,0.2601039260969977,0.0002886836027713626,0.26501154734411086
"Census Tract 78.02, Adams County, Colorado","3,165",08001007802,0.23633491311216429,0.23317535545023696,0.045813586097946286,0.09984202211690363,0.009794628751974723,0.3750394944707741
"Census Tract 79, Adams County, Colorado","4,416",08001007900,0.3820199275362319,0.1922554347826087,0.03351449275362319,0.030570652173913044,0.005661231884057971,0.35597826086956524
"Census Tract 80, Adams County, Colorado","5,449",08001008000,0.45329418241879244,0.16461736098366672,0.030097265553312533,0.05248669480638649,0.0042209579739401724,0.29528353826390163
"Census Tract 81, Adams County, Colorado","1,278",08001008100,0.6713615023474179,0.11658841940532082,0.014084507042253521,0.15884194053208137,0.008607198748043818,0.03051643192488263
"Census Tract 82, Adams County, Colorado","5,369",08001008200,0.37567517228534175,0.17936300987148446,0.020674241013224064,0.0733842428757683,0.004097597317936301,0.3468057366362451
"Census Tract 83.08, Adams County, Colorado","5,329",08001008308,0.3647963970726215,0.18014636892475136,0.032839181835241135,0.03321448677050103,0.010133233252017265,0.3788703321448677
"Census Tract 83.09, Adams County, Colorado","3,352",08001008309,0.3287589498806683,0.09158711217183771,0.0256563245823389,0.038782816229116945,0.006861575178997614,0.5083532219570406
"Census Tract 83.54, Adams County, Colorado","3,358",08001008354,0.39189994044073856,0.3490172721858249,0.019952352590827872,0.07653365098272781,0.008040500297796307,0.15455628350208458
"Census Tract 83.55, Adams County, Colorado","3,931",08001008355,0.4640040702111422,0.14220300178071738,0.026201984227931824,0.03357924192317476,0.010175527855507505,0.3238361740015263
"Census Tract 84.01, Adams County, Colorado","4,842",08001008401,0.8529533250722842,0.01858736059479554,0.011565468814539447,0.0053696819496076,0.003304419661296985,0.10821974390747625
"Census Tract 84.02, Adams County, Colorado","4,776",08001008402,0.9080820770519263,0.008584589614740368,0.009840871021775544,0.011725293132328308,0.0020938023450586263,0.059673366834170856
"Census Tract 85.05, Adams County, Colorado","5,927",08001008505,0.7664923232664079,0.017884258478150835,0.029694617850514596,0.026826387717226254,0.0013497553568415724,0.15775265733085878
"Census Tract 85.06, Adams County, Colorado","5,417",08001008506,0.7314011445449511,0.036920804873546244,0.025106147314011444,0.04319734170204911,0.003322872438619162,0.16005168912682297
"Census Tract 85.07, Adams County, Colorado","5,060",08001008507,0.7875494071146245,0.016205533596837945,0.0266798418972332,0.030039525691699605,0.002569169960474308,0.13695652173913042
"Census Tract 85.08, Adams County, Colorado","4,708",08001008508,0.786108751062022,0.02145284621920136,0.017204757858963467,0.04333050127442651,0.0021240441801189465,0.12977909940526763
"Census Tract 85.24, Adams County, Colorado","8,070",08001008524,0.7996282527881041,0.020074349442379184,0.012391573729863693,0.09467162329615861,0.001982651796778191,0.07125154894671623
"Census Tract 85.26, Adams County, Colorado","6,360",08001008526,0.8531446540880503,0.017452830188679245,0.008176100628930818,0.06981132075471698,0.0006289308176100629,0.05078616352201258
"Census Tract 85.33, Adams County, Colorado","6,342",08001008533,0.7300536108483129,0.032954903815830966,0.02034058656575213,0.07757805108798486,0.002838221381267739,0.13623462630085148
"Census Tract 85.34, Adams County, Colorado","3,604",08001008534,0.771087680355161,0.019700332963374027,0.022752497225305215,0.04078801331853496,0.0024972253052164264,0.14317425083240842
"Census Tract 85.35, Adams County, Colorado","3,540",08001008535,0.6731638418079096,0.036440677966101696,0.022598870056497175,0.054519774011299434,0.000847457627118644,0.21242937853107344
"Census Tract 85.36, Adams County, Colorado","3,668",08001008536,0.7652671755725191,0.03980370774263904,0.013358778625954198,0.06706652126499454,0.0019083969465648854,0.11259541984732824
"Census Tract 85.38, Adams County, Colorado","9,921",08001008538,0.7469005140610826,0.07378288478983973,0.010281221651043242,0.04888620098780365,0.003729462755770588,0.11641971575446024
"Census Tract 85.40, Adams County, Colorado","8,947",08001008540,0.7664021459707164,0.021012629931820723,0.009835699117022466,0.11836369732871353,0.0011176930814798256,0.08326813457024701
"Census Tract 85.44, Adams County, Colorado","5,377",08001008544,0.7984005951273945,0.017295889901432025,0.008368978984563883,0.1166077738515901,0.001859773107680863,0.05746698902733866
"Census Tract 85.45, Adams County, Colorado","5,807",08001008545,0.8622352333390735,0.01894265541587739,0.012743240916135698,0.05407267091441364,0.0006888238333046323,0.05131737558119511
"Census Tract 85.46, Adams County, Colorado","3,045",08001008546,0.7773399014778325,0.02495894909688013,0.015763546798029555,0.06863711001642037,0.0003284072249589491,0.1129720853858785
"Census Tract 85.47, Adams County, Colorado","2,897",08001008547,0.7718329306178806,0.02416292716603383,0.021746634449430445,0.0555747324818778,0.0010355540214014498,0.1256472212633759
"Census Tract 85.48, Adams County, Colorado","1,425",08001008548,0.7326315789473684,0.030877192982456142,0.011228070175438596,0.12842105263157894,0.0014035087719298245,0.09543859649122807
"Census Tract 85.49, Adams County, Colorado","3,966",08001008549,0.7531517902168432,0.018154311649016642,0.015380736258194654,0.08043368633383761,0.0005042864346949068,0.132375189107413
"Census Tract 85.50, Adams County, Colorado","7,134",08001008550,0.7824502382954864,0.015138772077375946,0.01485842444631343,0.0744322960470984,0.0014017381553125877,0.11171853097841324
"Census Tract 85.51, Adams County, Colorado","1,494",08001008551,0.7971887550200804,0.006693440428380187,0.002677376171352075,0.1037483266398929,0.0006693440428380187,0.08902275769745649
"Census Tract 85.52, Adams County, Colorado","4,145",08001008552,0.7913148371531966,0.019300361881785282,0.02436670687575392,0.03594692400482509,0.0026537997587454767,0.1264173703256936
"Census Tract 85.53, Adams County, Colorado","4,808",08001008553,0.831946755407654,0.02204658901830283,0.011439267886855242,0.02807820299500832,0.0008319467554076539,0.10565723793677205
"Census Tract 85.54, Adams County, Colorado","2,161",08001008554,0.8334104581212401,0.014807959278111986,0.01943544655252198,0.045812124016658955,0.0,0.08653401203146692
"Census Tract 85.55, Adams County, Colorado","5,005",08001008555,0.7876123876123876,0.035164835164835165,0.02177822177822178,0.04855144855144855,0.002797202797202797,0.1040959040959041
"Census Tract 85.56, Adams County, Colorado","4,988",08001008556,0.7483961507618284,0.02445870088211708,0.01904570970328789,0.05693664795509222,0.002004811547714515,0.1491579791499599
"Census Tract 85.57, Adams County, Colorado",725,08001008557,0.7558620689655172,0.006896551724137931,0.019310344827586208,0.041379310344827586,0.0,0.17655172413793102
"Census Tract 85.58, Adams County, Colorado","3,449",08001008558,0.7074514351986083,0.04755001449695564,0.015076833864888374,0.048999710060887214,0.002029573789504204,0.17889243258915627
"Census Tract 85.59, Adams County, Colorado","7,069",08001008559,0.6471919649172443,0.07681425944263687,0.017682840571509408,0.0554533880322535,0.004102419012590183,0.19875512802376574
"Census Tract 85.60, Adams County, Colorado","1,960",08001008560,0.9142857142857143,0.008673469387755102,0.009693877551020408,0.03316326530612245,0.001530612244897959,0.0326530612244898
"Census Tract 85.61, Adams County, Colorado","4,352",08001008561,0.9253216911764706,0.007123161764705882,0.005284926470588236,0.03125,0.0,0.031020220588235295
"Census Tract 85.62, Adams County, Colorado","4,838",08001008562,0.8212071103761885,0.020463001240181893,0.016329061595700703,0.03989251756924349,0.0008267879288962381,0.10128152128978916
"Census Tract 85.63, Adams County, Colorado","3,720",08001008563,0.8247311827956989,0.012634408602150538,0.016397849462365593,0.02258064516129032,0.002688172043010753,0.12096774193548387
"Census Tract 85.64, Adams County, Colorado","1,003",08001008564,0.8215353938185443,0.014955134596211365,0.023928215353938187,0.027916251246261216,0.0009970089730807576,0.1106679960119641
"Census Tract 85.65, Adams County, Colorado","5,711",08001008565,0.7574855541936614,0.012081947119593766,0.01821047102083698,0.02136228331290492,0.0022763088776046225,0.18858343547539835
"Census Tract 86.03, Adams County, Colorado","1,723",08001008603,0.5519442832269298,0.017411491584445733,0.04236796285548462,0.016831108531630876,0.00812536273940801,0.363319791062101
"Census Tract 86.04, Adams County, Colorado","3,808",08001008604,0.663077731092437,0.03965336134453781,0.028361344537815126,0.011029411764705883,0.0021008403361344537,0.2557773109243697
"Census Tract 86.05, Adams County, Colorado","3,421",08001008605,0.7453960830166618,0.010230926629640456,0.03156971645717627,0.022508038585209004,0.004969307220111079,0.1853259280912014
"Census Tract 86.06, Adams County, Colorado","4,809",08001008606,0.6581409856519027,0.020794343938448742,0.02911208151382824,0.013932210438760657,0.004158868787689748,0.27386150966936995
"Census Tract 87.05, Adams County, Colorado","4,072",08001008705,0.50049115913556,0.03511787819253438,0.03192534381139489,0.004666011787819254,0.0007367387033398821,0.42706286836935164
"Census Tract 87.06, Adams County, Colorado","4,224",08001008706,0.45336174242424243,0.03432765151515151,0.045928030303030304,0.008285984848484848,0.0023674242424242425,0.4557291666666667
"Census Tract 87.09, Adams County, Colorado","6,332",08001008709,0.4747315224257738,0.06538218572331017,0.026531901452937462,0.00773847125710676,0.0,0.42561591914087177
"Census Tract 88.01, Adams County, Colorado","4,114",08001008801,0.5097228974234321,0.016285853184248907,0.03524550315994166,0.008264462809917356,0.0,0.4304812834224599
"Census Tract 88.02, Adams County, Colorado","3,504",08001008802,0.4988584474885845,0.018835616438356163,0.0365296803652968,0.0091324200913242,0.00028538812785388126,0.4363584474885845
"Census Tract 89.01, Adams County, Colorado","1,887",08001008901,0.5410704822469529,0.01377848436671966,0.047164811870694226,0.010598834128245893,0.002649708532061473,0.3847376788553259
"Census Tract 90.01, Adams County, Colorado","3,815",08001009001,0.6107470511140236,0.045871559633027525,0.04089121887287025,0.03328964613368283,0.00235910878112713,0.2668414154652687
"Census Tract 90.03, Adams County, Colorado","3,509",08001009003,0.5514391564548304,0.025648332858364205,0.03733257338273012,0.04217725847819892,0.0014249073810202336,0.3419777714448561
"Census Tract 90.04, Adams County, Colorado","3,925",08001009004,0.5900636942675159,0.03592356687898089,0.02394904458598726,0.02165605095541401,0.0012738853503184713,0.32713375796178346
"Census Tract 91.01, Adams County, Colorado","3,466",08001009101,0.5943450663589152,0.023658395845354875,0.033179457587997695,0.02683208309290248,0.0005770340450086555,0.3214079630698211
"Census Tract 91.03, Adams County, Colorado","3,329",08001009103,0.4629017723039952,0.010814058275758487,0.031240612796635626,0.011114448783418444,0.0,0.4839291078401923
"Census Tract 91.04, Adams County, Colorado","5,112",08001009104,0.5811815336463224,0.033646322378716745,0.027386541471048513,0.056533646322378714,0.00019561815336463224,0.301056338028169
"Census Tract 92.02, Adams County, Colorado","3,435",08001009202,0.6238719068413392,0.027365356622998546,0.04163027656477438,0.016302765647743814,0.0026200873362445414,0.28820960698689957
"Census Tract 92.03, Adams County, Colorado","3,470",08001009203,0.5440922190201729,0.04927953890489913,0.025360230547550433,0.06945244956772334,0.003170028818443804,0.30864553314121035
"Census Tract 92.04, Adams County, Colorado","5,618",08001009204,0.6427554289782841,0.04093983624065504,0.018333926664293343,0.1228195087219651,0.003737985048059808,0.17141331434674262
"Census Tract 92.06, Adams County, Colorado","2,137",08001009206,0.6513804398689752,0.03883949461862424,0.02526906878802059,0.1375760411792232,0.0,0.14693495554515676
