,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total,race_total_count,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total,home_own_rent_total,owner_occupied_percentage_total,renter_occupied_percentage_total,less_than_10000_standardized,10000_to_14999_standardized,15000_to_19999_standardized,20000_to_24999_standardized,25000_to_29999_standardized,30000_to_34999_standardized,35000_to_39999_standardized,40000_to_44999_standardized,45000_to_49999_standardized,50000_to_59999_standardized,60000_to_74999_standardized,75000_to_99999_standardized,100000_to_124999_standardized,125000_to_149999_standardized,150000_to_199999_standardized,200000_or_more_standardized,white_alone_standardized,black_or_african_american_alone_standardized,american_indian_and_alaska_native_alone_standardized,asian_alone_standardized,native_hawaiian_and_other_pacific_islander_alone_standardized,some_other_race_alone_standardized,owner_occupied_standardized,renter_occupied_standardized
1,"1,222",8001007801,0.12193126,0.071194763,0.098199673,0.068739771,0.084288052,0.049918167,0.084288052,0.084288052,0.052373159,0.058101473,0.090834697,0.087561375,0.009001637,0.007364975,0.020458265,0.011456628,"3,464",0.259526559,0.192840647,0.022228637,0.260103926,0.000288684,0.265011547,"1,191",0.113350126,0.886649874,0.384180241,0.257297551,0.589198036,0.206219313,0.396194565,0.280107609,0.482740664,0.514571651,0.275454505,0.200075234,0.328788168,0.200140285,0.009001637,0.024823589,0.052677562,0.017184943,0.070288143,0.416201608,0.111143187,0.876082262,0.009550841,0.521313795,0.11237906,0.88762094
2,"1,377",8001007802,0.099491649,0.108932462,0.092955701,0.066085694,0.045025418,0.024691358,0.055918664,0.054466231,0.040668119,0.132897603,0.108206245,0.097312999,0.04647785,0,0.015250545,0.011619463,"3,165",0.236334913,0.233175355,0.045813586,0.099842022,0.009794629,0.375039494,"1,240",0.126612903,0.873387097,0.313477654,0.393681425,0.557734205,0.198257081,0.211641214,0.138551507,0.320261438,0.332511875,0.213892324,0.457639328,0.391666778,0.222429713,0.04647785,0,0.039268311,0.017429194,0.041169546,0.50325468,0.22906793,0.336287982,0.324046596,0.737753747,0.126022741,0.873977259
3,"2,005",8001007900,0.102244389,0.016957606,0.044389027,0.083790524,0.069326683,0.085785536,0.020947631,0.063341646,0.027930175,0.055860349,0.136658354,0.172069825,0.07032419,0.016458853,0.014962594,0.018952618,"4,416",0.382019928,0.192255435,0.033514493,0.030570652,0.005661232,0.355978261,"1,780",0.300561798,0.699438202,0.322150972,0.061284711,0.266334165,0.251371571,0.325868903,0.48137147,0.119972795,0.386695556,0.146897621,0.192357815,0.494652938,0.393302458,0.07032419,0.055474429,0.038526871,0.028428928,0.224086417,0.414938564,0.167572464,0.102968096,0.187296831,0.700257706,0.304967411,0.695032589
4,"1,536",8001008000,0.041015625,0.0625,0.018229167,0.072265625,0.05859375,0.093098958,0.008463542,0.043619792,0.03125,0.185546875,0.07421875,0.13671875,0.087890625,0.037109375,0.033854167,0.015625,"5,449",0.453294182,0.164617361,0.030097266,0.052486695,0.004220958,0.295283538,"1,726",0.575318656,0.424681344,0.129231771,0.225874718,0.109375,0.216796875,0.275418931,0.522409539,0.048473011,0.266295253,0.164358108,0.638939642,0.268644555,0.3125,0.087890625,0.125076844,0.08717039,0.0234375,0.313575812,0.355288221,0.150486328,0.176785729,0.139646647,0.580862923,0.587615227,0.412384773
5,666,8001008100,0.174174174,0.027027027,0.007507508,0.045045045,0.043543544,0.036036036,0.018018018,0.052552553,0.081081081,0.163663664,0.106606607,0.072072072,0.040540541,0.078078078,0.024024024,0.03003003,"1,278",0.671361502,0.116588419,0.014084507,0.158841941,0.008607199,0.030516432,314,0.114649682,0.885350318,0.548786882,0.097675554,0.045045045,0.135135135,0.20467569,0.202210307,0.103194103,0.320829026,0.426442659,0.563583745,0.385876674,0.164736165,0.040540541,0.263161522,0.06185896,0.045045045,0.587373306,0.251628941,0.070422535,0.535011557,0.284761529,0.060029976,0.113715938,0.886284062
6,"1,476",8001008200,0.025067751,0.012872629,0.037262873,0.035907859,0,0.049457995,0.04200542,0.08604336,0.027777778,0.081300813,0.105691057,0.191056911,0.120596206,0.077913279,0.081300813,0.025745257,"5,369",0.375675172,0.17936301,0.020674241,0.073384243,0.004097597,0.346805737,"1,477",0.752200406,0.247799594,0.07898331,0.046521622,0.223577236,0.107723577,0,0.277525427,0.240576497,0.525287663,0.146096096,0.279963284,0.382562721,0.43670151,0.120596206,0.262606069,0.209339775,0.038617886,0.21612017,0.387113269,0.103371205,0.247172868,0.135565369,0.682214102,0.769576983,0.230423017
7,"1,678",8001008308,0.088796186,0.016686532,0.030393325,0.041716329,0.081644815,0.157926103,0.052443385,0.064362336,0.062574493,0.049463647,0.110846246,0.099523242,0.068533969,0.019666269,0.042312277,0.013110846,"5,329",0.364796397,0.180146369,0.032839182,0.033214487,0.010133233,0.378870332,"1,802",0.513318535,0.486681465,0.279778459,0.06030505,0.182359952,0.125148987,0.383770074,0.886176429,0.300357569,0.392926786,0.329108011,0.170330463,0.401222607,0.227481696,0.068533969,0.066285,0.108949002,0.019666269,0.202461171,0.388803967,0.164195909,0.111873062,0.335249025,0.745289527,0.523834476,0.476165524
8,"1,161",8001008309,0.020671835,0.039621016,0.063738157,0.070628768,0.080103359,0.091300603,0.01205857,0.003445306,0.035314384,0.114556417,0.173126615,0.206718346,0.010335917,0.028423773,0.037037037,0.012919897,"3,352",0.32875895,0.091587112,0.025656325,0.038782816,0.006861575,0.508353222,"1,030",0.69223301,0.30776699,0.065132685,0.143190174,0.382428941,0.211886305,0.376524485,0.512318363,0.06906272,0.021033309,0.185734572,0.394480565,0.626654619,0.472499077,0.010335917,0.095802093,0.095365897,0.019379845,0.157213847,0.197669444,0.128281623,0.130628314,0.227009123,1,0.707887336,0.292112664
9,"1,243",8001008354,0.030571199,0.022526146,0.028962188,0,0.014481094,0.031375704,0.045856798,0.049879324,0.008849558,0.043443282,0.01850362,0.293644409,0.1230893,0.124698311,0.148028962,0.016090105,"3,358",0.39189994,0.349017272,0.019952353,0.076533651,0.0080405,0.154556284,,,,0.096323539,0.081409391,0.17377313,0,0.068068138,0.176059618,0.262634389,0.304509186,0.046543889,0.149599045,0.066976294,0.67118722,0.1230893,0.420294634,0.3811567,0.024135157,0.236491406,0.753272468,0.099761763,0.257780707,0.266012814,0.304033253,,
10,"1,748",8001008355,0.020594966,0.010297483,0.004576659,0.137299771,0.060640732,0.039473684,0.020594966,0.043478261,0.04576659,0.08409611,0.149885584,0.170480549,0.086956522,0.046338673,0.065217391,0.014302059,"3,931",0.46400407,0.142203002,0.026201984,0.033579242,0.010175528,0.323836174,,,,0.064890487,0.037215056,0.027459954,0.411899314,0.285040737,0.221500107,0.117952985,0.265431219,0.240707527,0.289589023,0.54253064,0.389669827,0.086956522,0.156184117,0.167926906,0.021453089,0.327022762,0.306912049,0.131009921,0.113101631,0.336648305,0.637029845,,
11,"1,883",8001008401,0.032926182,0.040892193,0.032395114,0.081784387,0.016994158,0.030270844,0.029739777,0.030270844,0.043016463,0.109930961,0.075411577,0.118959108,0.131173659,0.067976633,0.084439724,0.073818375,"4,842",0.852953325,0.018587361,0.011565469,0.005369682,0.00330442,0.108219744,"1,543",0.802333117,0.197666883,0.103743604,0.147784202,0.194370685,0.24535316,0.079880754,0.16985988,0.170327813,0.184801024,0.226243344,0.378552584,0.272962151,0.271906532,0.131173659,0.229114684,0.217422091,0.110727562,0.815373476,0.040116487,0.057827344,0.018086167,0.109323791,0.21288297,0.821149495,0.178850505
12,"1,546",8001008402,0.002587322,0.014877102,0.003880983,0.021345408,0.029107374,0.007761966,0.017464424,0.029107374,0.021992238,0.113842173,0.067270375,0.212160414,0.163001294,0.126778784,0.124838292,0.043984476,"4,776",0.908082077,0.00858459,0.009840871,0.011725293,0.002093802,0.059673367,"1,574",0.811944091,0.188055909,0.008152118,0.05376578,0.023285899,0.064036223,0.136818719,0.043555002,0.100023521,0.177698132,0.115667284,0.392021032,0.243493996,0.484938089,0.163001294,0.427306852,0.321443526,0.065976714,0.884591157,0.018527837,0.049204355,0.039493142,0.069271592,0.117385637,0.831036494,0.168963506
13,"2,214",8001008505,0.03071364,0.036133695,0.008581752,0.02303523,0.032971996,0.014453478,0.041102078,0.039747064,0.022131888,0.138663053,0.066847335,0.207317073,0.142728094,0.140921409,0.038843722,0.015808491,"5,927",0.766492323,0.017884258,0.029694618,0.026826388,0.001349755,0.157752657,"2,376",0.808501684,0.191498316,0.096772343,0.130587009,0.051490515,0.069105691,0.154984312,0.081103321,0.235402809,0.242652569,0.116401768,0.477492934,0.241962747,0.473867596,0.142728094,0.474974455,0.100017892,0.023712737,0.706816148,0.038599005,0.148473089,0.090356662,0.044655458,0.310320955,0.827495221,0.172504779
14,"2,726",8001008506,0.072633896,0.038884813,0.028613353,0.106016141,0.053558327,0.136096845,0.050623624,0.042920029,0.040352164,0.084739545,0.09757887,0.07703595,0.104181952,0.029713866,0.016507704,0.02054292,"5,417",0.731401145,0.036920805,0.025106147,0.043197342,0.003322872,0.160051689,"2,425",0.202474227,0.797525773,0.228854418,0.140529538,0.171680117,0.318048423,0.251750012,0.763685131,0.289935303,0.262023261,0.212230572,0.291804724,0.353199591,0.176082172,0.104181952,0.100150343,0.042505343,0.03081438,0.662756924,0.079684956,0.125530737,0.145497322,0.109934284,0.314843464,0.204062786,0.795937214
15,"2,003",8001008507,0.009985022,0.008487269,0,0.038442336,0.024463305,0.03095357,0.025961058,0.033449825,0.007988018,0.065901148,0.101347978,0.206689965,0.300549176,0.049925112,0.067898153,0.027958063,"5,060",0.787549407,0.016205534,0.026679842,0.030039526,0.00256917,0.136956522,"2,036",0.840373281,0.159626719,0.031460745,0.030672952,0,0.115327009,0.114989352,0.173690881,0.148686062,0.204208441,0.042012657,0.226933793,0.366842374,0.472434206,0.300549176,0.168272182,0.174829543,0.041937094,0.733254666,0.034975869,0.133399209,0.101179156,0.084998707,0.269412125,0.860282164,0.139717836
16,"1,832",8001008508,0.031113537,0.015829694,0.015283843,0.041484716,0.037663755,0.09279476,0.026746725,0.061135371,0.022925764,0.086244541,0.100982533,0.098253275,0.15720524,0.074235808,0.088973799,0.049126638,"4,708",0.786108751,0.021452846,0.017204758,0.043330501,0.002124044,0.129779099,"1,893",0.715266772,0.284733228,0.098032335,0.057208444,0.091703057,0.124454148,0.177037846,0.520702579,0.153185788,0.37322643,0.120577127,0.296987252,0.365519597,0.224578915,0.15720524,0.250211182,0.229096787,0.073689956,0.73144583,0.04630097,0.086023789,0.145945831,0.070272116,0.255293158,0.731582623,0.268417377
17,"2,826",8001008524,0.019462137,0,0,0.004246285,0.025477707,0.010261854,0.008492569,0.022292994,0.004600142,0.039985846,0.060863411,0.16631281,0.146496815,0.140835103,0.238853503,0.111818825,"8,070",0.799628253,0.020074349,0.012391574,0.094671623,0.001982652,0.071251549,"2,462",0.915109667,0.084890333,0.061321179,0,0,0.012738854,0.119757531,0.057582712,0.048639259,0.136096899,0.024194258,0.137693195,0.220303145,0.380143565,0.146496815,0.474683559,0.615018924,0.167728238,0.748420431,0.043325806,0.061957869,0.318873041,0.065594274,0.140161498,0.937164963,0.062835037
18,"2,628",8001008526,0.042998478,0.014079148,0.021689498,0.007990868,0.018645358,0.021689498,0.022070015,0.01674277,0.051369863,0.036149163,0.074961948,0.204718417,0.097792998,0.143074581,0.125190259,0.100837139,"6,360",0.853144654,0.01745283,0.008176101,0.069811321,0.000628931,0.050786164,"2,410",0.819502075,0.180497925,0.135479331,0.050881976,0.130136986,0.023972603,0.087642189,0.12170706,0.126400996,0.10221324,0.270177712,0.124481391,0.271334659,0.46792781,0.097792998,0.482231704,0.322349797,0.151255708,0.815613702,0.037667868,0.040880503,0.235138549,0.020807618,0.099903298,0.838811541,0.161188459
19,"3,078",8001008533,0.019818064,0,0.036387264,0.005198181,0.027940221,0.02014295,0.021767381,0.016894087,0.072449643,0.089993502,0.234567901,0.2179987,0.100064977,0.044509422,0.07439896,0.017868746,"6,342",0.730053611,0.032954904,0.020340587,0.077578051,0.002838221,0.136234626,"2,976",0.463037634,0.536962366,0.062442629,0,0.218323587,0.015594542,0.131332536,0.113028861,0.12466773,0.103137017,0.381045958,0.30989698,0.849049458,0.498282744,0.100064977,0.150018641,0.191568338,0.026803119,0.661065009,0.071125482,0.101702933,0.261298457,0.093900034,0.267992058,0.472109518,0.527890482
