"GEO_ID","NAME","B25024_001E","B25024_001EA","B25024_001M","B25024_001MA","B25024_002E","B25024_002EA","B25024_002M","B25024_002MA","B25024_003E","B25024_003M","B25024_003MA","B25024_003EA","B25024_004E","B25024_004M","B25024_004MA","B25024_004EA","B25024_005E","B25024_005EA","B25024_005M","B25024_005MA","B25024_006E","B25024_006EA","B25024_006M","B25024_006MA","B25024_007E","B25024_007M","B25024_007MA","B25024_007EA","B25024_008E","B25024_008M","B25024_008MA","B25024_008EA","B25024_009E","B25024_009M","B25024_009MA","B25024_009EA","B25024_010E","B25024_010EA","B25024_010M","B25024_010MA","B25024_011E","B25024_011EA","B25024_011M","B25024_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!1, detached","Annotation of Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Annotation of Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Annotation of Margin of Error!!Total:!!1, attached","Annotation of Estimate!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Annotation of Margin of Error!!Total:!!2","Annotation of Estimate!!Total:!!2","Estimate!!Total:!!3 or 4","Annotation of Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Annotation of Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Annotation of Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Annotation of Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Annotation of Margin of Error!!Total:!!10 to 19","Annotation of Estimate!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Annotation of Margin of Error!!Total:!!20 to 49","Annotation of Estimate!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Annotation of Margin of Error!!Total:!!50 or more","Annotation of Estimate!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Annotation of Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Annotation of Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US08001007801","Census Tract 78.01, Adams County, Colorado","1367","null","120","null","244","null","85","null","113","66","null","null","39","35","null","null","81","null","54","null","173","null","81","null","333","104","null","null","224","88","null","null","160","90","null","null","0","null","13","null","0","null","13","null",
"1400000US08001007802","Census Tract 78.02, Adams County, Colorado","1556","null","175","null","386","null","127","null","19","20","null","null","109","139","null","null","16","null","24","null","120","null","73","null","93","66","null","null","466","106","null","null","347","136","null","null","0","null","13","null","0","null","13","null",
"1400000US08001007900","Census Tract 79, Adams County, Colorado","2215","null","206","null","1220","null","208","null","70","51","null","null","104","93","null","null","69","null","56","null","217","null","106","null","292","133","null","null","180","97","null","null","50","47","null","null","13","null","24","null","0","null","18","null",
"1400000US08001008000","Census Tract 80, Adams County, Colorado","1932","null","155","null","1249","null","214","null","140","108","null","null","10","16","null","null","80","null","68","null","282","null","150","null","79","76","null","null","34","47","null","null","58","47","null","null","0","null","18","null","0","null","18","null",
"1400000US08001008100","Census Tract 81, Adams County, Colorado","873","null","95","null","13","null","14","null","0","13","null","null","5","9","null","null","22","null","20","null","0","null","13","null","4","8","null","null","49","34","null","null","729","109","null","null","51","null","31","null","0","null","13","null",
"1400000US08001008200","Census Tract 82, Adams County, Colorado","1590","null","198","null","1545","null","200","null","13","21","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null","32","36","null","null","0","null","18","null","0","null","18","null",
"1400000US08001008308","Census Tract 83.08, Adams County, Colorado","1875","null","203","null","459","null","128","null","60","58","null","null","57","53","null","null","24","null","27","null","158","null","100","null","118","89","null","null","135","93","null","null","50","62","null","null","814","null","196","null","0","null","18","null",
"1400000US08001008309","Census Tract 83.09, Adams County, Colorado","1229","null","163","null","217","null","74","null","63","39","null","null","0","13","null","null","58","null","60","null","17","null","27","null","0","13","null","null","46","55","null","null","0","13","null","null","820","null","152","null","8","null","13","null",
"1400000US08001008354","Census Tract 83.54, Adams County, Colorado","1529","null","171","null","904","null","183","null","0","13","null","null","0","13","null","null","0","null","13","null","59","null","58","null","325","135","null","null","202","134","null","null","0","13","null","null","39","null","65","null","0","null","13","null",
